diff,distance,cos,sin,value
898035,19.30853529,-0.979520161,-0.201346104,97
898030,19.30853529,-0.979520161,-0.201346104,99
898025,19.30855952,-0.979518302,-0.201355148,106
898020,19.30855952,-0.979518302,-0.201355148,103
898015,19.30840088,-0.979516061,-0.201366051,99
898010,19.30840088,-0.979516061,-0.201366051,100
898005,19.30840088,-0.979516061,-0.201366051,98
898001,19.30855952,-0.979518302,-0.201355148,113
897996,19.30855952,-0.979518302,-0.201355148,118
897991,19.30855952,-0.979518302,-0.201355148,118
897986,19.30874239,-0.979518684,-0.201353289,124
897981,19.30871815,-0.979520543,-0.201344245,122
897976,19.30871815,-0.979520543,-0.201344245,123
897971,19.30871815,-0.979520543,-0.201344245,123
897966,19.30871815,-0.979520543,-0.201344245,114
897961,19.30871815,-0.979520543,-0.201344245,112
897956,19.30890102,-0.979520925,-0.201342386,110
897952,19.30910812,-0.979519449,-0.201349571,109
897947,19.30910812,-0.979519449,-0.201349571,108
897942,19.30929099,-0.979519831,-0.201347712,97
897937,19.30931522,-0.979517972,-0.201356755,93
897932,19.30931522,-0.979517972,-0.201356755,98
897927,19.30933945,-0.979516113,-0.201365798,90
897922,19.30915658,-0.979515731,-0.201367657,89
897917,19.30918082,-0.979513871,-0.201376701,90
897912,19.30899795,-0.979513489,-0.20137856,89
897907,19.30899795,-0.979513489,-0.20137856,95
897903,19.30902219,-0.97951163,-0.201387603,95
897898,19.30904642,-0.979509771,-0.201396646,100
897893,19.30925353,-0.979508294,-0.20140383,101
897888,19.30927776,-0.979506434,-0.201412873,107
897883,19.30948487,-0.979504957,-0.201420057,107
897878,19.30948487,-0.979504957,-0.201420057,115
897873,19.30950911,-0.979503097,-0.2014291,115
897868,19.30953335,-0.979501238,-0.201438142,121
897863,19.30953335,-0.979501238,-0.201438142,119
897858,19.30955759,-0.979499378,-0.201447185,114
897854,19.30955759,-0.979499378,-0.201447185,118
897849,19.30971621,-0.97950162,-0.201436283,115
897844,19.30992332,-0.979500143,-0.201443466,118
897839,19.30992332,-0.979500143,-0.201443466,119
897834,19.30992332,-0.979500143,-0.201443466,117
897829,19.30992332,-0.979500143,-0.201443466,112
897824,19.30989908,-0.979502003,-0.201434423,110
897819,19.30989908,-0.979502003,-0.201434423,100
897814,19.30989908,-0.979502003,-0.201434423,103
897809,19.30971621,-0.97950162,-0.201436283,101
897805,19.30971621,-0.97950162,-0.201436283,109
897800,19.30971621,-0.97950162,-0.201436283,116
897795,19.30971621,-0.97950162,-0.201436283,113
897790,19.30950911,-0.979503097,-0.2014291,115
897785,19.30950911,-0.979503097,-0.2014291,113
897780,19.30953335,-0.979501238,-0.201438142,110
897775,19.30953335,-0.979501238,-0.201438142,109
897770,19.30932624,-0.979502715,-0.201430959,112
897765,19.30932624,-0.979502715,-0.201430959,106
897760,19.30932624,-0.979502715,-0.201430959,112
897756,19.30914338,-0.979502333,-0.201432819,106
897751,19.30914338,-0.979502333,-0.201432819,105
897746,19.30914338,-0.979502333,-0.201432819,99
897741,19.30916762,-0.979500473,-0.201441862,94
897736,19.30916762,-0.979500473,-0.201441862,94
897731,19.30919186,-0.979498613,-0.201450905,97
897726,19.309009,-0.979498231,-0.201452765,98
897721,19.30903324,-0.979496371,-0.201461807,101
897716,19.30903324,-0.979496371,-0.201461807,105
